0001, 2, 1, 0
0002, 2, 0, 1
0003, 1, 0, 1
0004, 1, 2, 2
0005, 1, 1, 0
0006, 2, 2, 2
0007, 0, 0, 0
0008, 1, 2, 2
0009, 0, 0, 0
0010, 0, 1, 0
0011, 1, 0, 1
0012, 2, 2, 1
0013, 0, 2, 1
0014, 1, 2, 1
0015, 0, 2, 1
0016, 0, 1, 0
0017, 2, 2, 2
0018, 0, 2, 1
0019, 1, 2, 1
0020, 2, 0, 2
0021, 0, 2, 2
0022, 1, 2, 0
0023, 0, 2, 1
0024, 2, 1, 0
0025, 2, 2, 2
0026, 1, 0, 0
0027, 1, 0, 2
0028, 1, 0, 0
0029, 0, 0, 1
0030, 2, 2, 1
0031, 0, 1, 2
0032, 1, 1, 1
0033, 0, 2, 2
0034, 1, 1, 0
0035, 2, 0, 0
0036, 0, 0, 0
0037, 0, 2, 2
0038, 0, 1, 1
0039, 1, 2, 0
0040, 1, 0, 0
0041, 2, 1, 1
0042, 1, 0, 1
0043, 0, 0, 1
0044, 0, 2, 1
0045, 2, 2, 0
0046, 2, 1, 0
0047, 2, 2, 2
0048, 0, 1, 0
0049, 2, 2, 1
0050, 0, 2, 2
0051, 0, 1, 1
0052, 1, 1, 1
0053, 2, 2, 2
0054, 2, 1, 0
0055, 1, 2, 1
0056, 1, 2, 1
0057, 2, 2, 0
0058, 0, 2, 2
0059, 1, 0, 2
0060, 2, 2, 0
0061, 0, 0, 1
0062, 1, 2, 2
0063, 0, 2, 1
0064, 1, 2, 1
0065, 1, 2, 2
0066, 0, 2, 2
0067, 1, 2, 0
0068, 1, 0, 0
0069, 1, 0, 0
0070, 2, 1, 1
0071, 2, 0, 1
0072, 1, 1, 0
0073, 1, 0, 2
0074, 1, 2, 0
0075, 2, 2, 0
0076, 2, 2, 2
0077, 2, 2, 1
0078, 1, 2, 0
0079, 2, 2, 1
0080, 1, 1, 1
0081, 2, 0, 1
0082, 0, 1, 2
0083, 1, 1, 1
0084, 2, 2, 2
0085, 0, 1, 0
0086, 1, 0, 0
0087, 2, 2, 1
0088, 0, 1, 2
0089, 0, 2, 0
0090, 1, 0, 0
0091, 1, 1, 0
0092, 2, 2, 2
0093, 1, 2, 2
0094, 2, 0, 2
0095, 1, 2, 1
0096, 2, 2, 2
0097, 1, 0, 2
0098, 1, 2, 2
0099, 2, 2, 2
0100, 0, 0, 1
0101, 2, 0, 2
0102, 1, 2, 1
0103, 1, 0, 2
0104, 1, 1, 0
0105, 2, 0, 0
0106, 1, 1, 0
0107, 0, 0, 1
0108, 0, 1, 1
0109, 1, 2, 0
0110, 2, 0, 2
0111, 2, 2, 2
0112, 2, 1, 0
0113, 0, 2, 2
0114, 0, 2, 0
0115, 1, 1, 1
0116, 2, 1, 2
0117, 1, 1, 1
0118, 0, 2, 0
0119, 0, 0, 1
0120, 0, 1, 1
0121, 1, 0, 2
0122, 2, 2, 0
0123, 0, 2, 2
0124, 1, 2, 1
0125, 1, 2, 2
0126, 1, 2, 1
0127, 0, 2, 2
0128, 2, 0, 1
0129, 2, 0, 2
0130, 1, 2, 0
0131, 0, 2, 2
0132, 1, 1, 1
0133, 2, 2, 0
0134, 2, 1, 0
0135, 0, 1, 0
0136, 1, 2, 2
0137, 2, 1, 0
0138, 0, 2, 2
0139, 1, 2, 0
0140, 0, 1, 2
0141, 0, 1, 1
0142, 0, 1, 1
0143, 2, 1, 0
0144, 2, 2, 0
0145, 0, 1, 1
0146, 2, 0, 2
0147, 1, 2, 2
0148, 1, 0, 2
0149, 0, 0, 0
0150, 0, 1, 0
0151, 0, 2, 2
0152, 0, 0, 0
0153, 0, 1, 1
0154, 1, 1, 2
0155, 1, 0, 0
0156, 2, 1, 0
0157, 0, 0, 2
0158, 2, 0, 1
0159, 0, 2, 0
0160, 0, 2, 2
0161, 1, 0, 1
